Day Week Ends On,Sort County x Week,County,Count Confirmed Cases Suppressed if 1-4,Count Probable Cases Suppressed if 1-4,Count Hospitalized Cases Suppressed if 1-4,Count Deceased Cases Suppressed if 1-4
10/31/2020 12:00:00 AM,388,Bamberg,12,<5,<5,<5
11/7/2020 12:00:00 AM,389,Bamberg,6,<5,<5,<5
11/14/2020 12:00:00 AM,390,Bamberg,10,<5,<5,<5
11/21/2020 12:00:00 AM,391,Bamberg,13,<5,<5,
11/28/2020 12:00:00 AM,392,Bamberg,22,<5,<5,<5
12/5/2020 12:00:00 AM,393,Bamberg,30,<5,<5,
12/12/2020 12:00:00 AM,394,Bamberg,43,5,<5,
12/19/2020 12:00:00 AM,395,Bamberg,44,<5,<5,<5
12/26/2020 12:00:00 AM,396,Bamberg,50,<5,5,<5
1/2/2021 12:00:00 AM,397,Bamberg,54,9,<5,<5
1/9/2021 12:00:00 AM,398,Bamberg,68,6,<5,
1/16/2021 12:00:00 AM,399,Bamberg,61,<5,<5,<5
1/23/2021 12:00:00 AM,400,Bamberg,50,<5,<5,<5
1/30/2021 12:00:00 AM,401,Bamberg,62,10,6,<5
